Index,Smiles,Type,Sites,conf_id,G/Hatree
1,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,Binol,0 13,0,-920.1839287
2,CCCCc1cc(O)c(-c2c(O)cc(CCCC)c3ccccc23)c2ccccc12,Binol,7 11,0,-1234.268614
3,Oc1cc(-c2ccccc2)c2ccccc2c1-c1c(O)cc(-c2ccccc2)c2ccccc12,Binol,0 19,0,-1381.850264
4,COc1ccc(-c2cc(O)c(-c3c(O)cc(-c4ccc(OC)cc4)c4ccccc34)c3ccccc23)cc1,Binol,9 13,0,-1610.672436
5,Oc1ccc2c(-c3ccccc3)cccc2c1-c1c(O)ccc2c(-c3ccccc3)cccc12,Binol,0 19,0,-1381.850494
6,CCCCc1ccc2c(-c3c(O)ccc4cc(CCCC)ccc34)c(O)ccc2c1,Binol,11 25,0,-1234.271879
7,Oc1ccc2cc(C3CCCCC3)ccc2c1-c1c(O)ccc2cc(C3CCCCC3)ccc12,Binol,0 19,0,-1388.951339
8,COc1ccc(-c2ccc3c(-c4c(O)ccc5cc(-c6ccc(OC)cc6)ccc45)c(O)ccc3c2)cc1,Binol,13 31,0,-1610.677244
9,Oc1ccc2cc(-c3ccccc3)ccc2c1-c1c(O)ccc2cc(-c3ccccc3)ccc12,Binol,0 19,1,-1381.855284
10,Cc1ccc2ccc(O)c(-c3c(O)ccc4ccc(C)cc34)c2c1,Binol,8 12,0,-998.7145586
11,CCCCOc1ccc2ccc(O)c(-c3c(O)ccc4ccc(OCCCC)cc34)c2c1,Binol,12 16,0,-1384.582003
12,CC(C)c1ccc2ccc(O)c(-c3c(O)ccc4ccc(C(C)C)cc34)c2c1,Binol,10 14,0,-1155.75372
13,Oc1ccc2ccc(-c3ccccc3)cc2c1-c1c(O)ccc2ccc(-c3ccccc3)cc12,Binol,0 19,0,-1381.857238
14,COc1ccc2c(-c3c(O)ccc4ccccc34)c(O)ccc2c1,Binol,9 19,0,-1034.595016
15,Oc1ccc2ccccc2c1-c1c(O)ccc2cc(-c3ccccc3)ccc12,Binol,0 13,1,-1151.019629
16,CC(C)c1cc2ccccc2c(-c2c(O)c(C(C)C)cc3ccccc23)c1O,Binol,14 27,0,-1155.752613
17,CCCCc1cc2ccccc2c(-c2c(O)c(CCCC)cc3ccccc23)c1O,Binol,15 29,0,-1234.275326
18,Oc1ccc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,Binol,0 13 ,0,-1151.017932
19,Oc1c(-c2ccccc2)cc2ccccc2c1-c1c(O)c(-c2ccccc2)cc2ccccc12,Binol,0 19,1,-1381.852032
20,Cc1cc2c(C(C)C)c(O)c(O)c(CO)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(CO)c2c1O,Binol,19 37,0,-1610.676161
21,CCOc1ccccc1-c1cc2ccccc2c(-c2c(O)c(-c3ccccc3OCC)cc3ccccc23)c1O,Binol,20 39,0,-1689.203908
22,CC(C)Oc1ccccc1-c1cc2ccccc2c(-c2c(O)c(-c3ccccc3OC(C)C)cc3ccccc23)c1O,Binol,21 41,0,-1767.727748
23,Cc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(C)cc4C)cc4ccccc34)c2O)c(C)c1,Binol,16 34,0,-1538.908562
24,Cc1cc(C)c(-c2cc3ccccc3c(-c3c(O)c(-c4c(C)cc(C)cc4C)cc4ccccc34)c2O)c(C)c1,Binol,17 36,0,-1617.439452
25,C[Si](C)(C)c1cccc(-c2cc3ccccc3c(-c3c(O)c(-c4cccc([Si](C)(C)C)c4)cc4ccccc34)c2O)c1,Binol,20 40,1,-2198.71442
26,CC(C)(C)c1cccc(-c2cc3ccccc3c(-c3c(O)c(-c4cccc(C(C)(C)C)c4)cc4ccccc34)c2O)c1,Binol,20 40,0,-1695.935488
27,Oc1c(-c2cccc(Oc3ccccc3)c2)cc2ccccc2c1-c1c(O)c(-c2cccc(Oc3ccccc3)c2)cc2ccccc12,Binol,0 26,0,-1993.820294
28,CC(C)(C)c1cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)cc4ccccc34)c2O)cc(C(C)(C)C)c1,Binol,18 42,2,-2010.013435
29,COc1cc(OC)cc(-c2cc3ccccc3c(-c3c(O)c(-c4cc(OC)cc(OC)c4)cc4ccccc34)c2O)c1,Binol,20 40,2,-1839.497565
30,CC1(C)CCC(C)(C)c2cc(-c3cc4ccccc4c(-c4c(O)c(-c5ccc6c(c5)C(C)(C)CCC6(C)C)cc5ccccc45)c3O)ccc21,Binol,22 46,1,-2007.660349
31,CCCCc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(CCCC)cc4)cc4ccccc34)c2O)cc1,Binol,19 39,0,-1695.933565
32,CC(C)Cc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(CC(C)C)cc4)cc4ccccc34)c2O)cc1,Binol,19 39,0,-1695.936066
33,CCC[C@H]1CC[C@H](c2ccc(-c3cc4ccccc4c(-c4c(O)c(-c5ccc([C@H]6CC[C@H](CCC)CC6)cc5)cc5ccccc45)c3O)cc2)CC1,Binol,22 47,0,-2086.155532
34,CC(C)(C)c1ccc(-c2ccc(-c3cc4ccccc4c(-c4c(O)c(-c5ccc(-c6ccc(C(C)(C)C)cc6)cc5)cc5ccccc45)c3O)cc2)cc1,Binol,23 49,2,-2157.605648
35,CC1(C)c2ccccc2-c2ccc(-c3cc4ccccc4c(-c4c(O)c(-c5ccc6c(c5)C(C)(C)c5ccccc5-6)cc5ccccc45)c3O)cc21,Binol,24 49,0,-2076.740403
36,Oc1c(-c2ccc3c(c2)C2(CCCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCCC2)c2ccccc2-3)cc2ccccc12,Binol,0 30,0,-2231.407385
37,Oc1c(-c2ccc3c(c2)C2(CCC2)c2ccccc2-3)cc2ccccc2c1-c1c(O)c(-c2ccc3c(c2)C2(CCC2)c2ccccc2-3)cc2ccccc12,Binol,0 29,0,-2152.83398
38,C[Si](C)(c1ccccc1)c1cc2ccccc2c(-c2c(O)c([Si](C)(C)c3ccccc3)cc3ccccc23)c1O,Binol,20 39,0,-2120.189402
39,Oc1c(-c2ccccc2)cc2ccc(-c3ccccc3)cc2c1-c1c(O)c(-c2ccccc2)cc2ccc(-c3ccccc3)cc12,Binol,0 25,1,-1843.526082
40,Oc1c(-c2c(O)c3ccccc3c3ccccc23)c2ccccc2c2ccccc12,Binol,0 5,0,-1227.19924
41,COc1cc2ccccc2c(-c2c(O)c(OC)cc3ccccc23)c1O,Binol,13 25,0,-1149.000246
42,Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,Binol,12 23,0,-998.7155767
43,C[Si](C)(C)c1cc2ccccc2c(-c2c(O)c([Si](C)(C)C)cc3ccccc23)c1O,Binol,15 29,3,-1737.053674
44,Oc1c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc2c1-c1c(O)c([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc2ccccc12,Binol,0 32,2,-2886.458692
45,COc1ccc2c(-c3c(O)ccc4cc(OC)ccc34)c(O)ccc2c1,Binol,9 21,0,-1149.006099
46,Oc1ccc2cc(OCc3ccccc3)ccc2c1-c1c(O)ccc2cc(OCc3ccccc3)ccc12,Binol,0 21,0,-1610.670859
47,CC(C)c1ccc2c(-c3c(O)ccc4cc(C(C)C)ccc34)c(O)ccc2c1,Binol,10 23,0,-1155.752048
48,Cc1ccc(-c2ccc3c(-c4c(O)ccc5cc(-c6ccc(C)cc6)ccc45)c(O)ccc3c2)cc1,Binol,12 29,0,-1460.386859
49,CC(C)(C)c1cc(-c2ccc3c(-c4c(O)ccc5cc(-c6cc(C(C)(C)C)cc(C(C)(C)C)c6)ccc45)c(O)ccc3c2)cc(C(C)(C)C)c1,Binol,14 38,0,-2010.021302
50,COc1ccc2ccc(O)c(-c3c(O)ccc4ccc(OC)cc34)c2c1,Binol,9 13,0,-1149.010992
51,COc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(OC)cc4)cc4ccccc34)c2O)cc1,Binol,17 35,0,-1610.674271
52,Cc1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(C)cc4)cc4ccccc34)c2O)cc1,Binol,16 33,1,-1460.3834
53,CC(C)(C)c1ccc(-c2cc3ccccc3c(-c3c(O)c(-c4ccc(C(C)(C)C)cc4)cc4ccccc34)c2O)cc1,Binol,19 39,0,-1695.934319
54,Oc1c(-c2ccc(Cl)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(Cl)cc2)cc2ccccc12,Binol,0 20,1,-2300.820508
55,Oc1c(-c2ccc(C(F)(F)F)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(C(F)(F)F)cc2)cc2ccccc12,Binol,0 23,0,-2055.450124
56,Oc1c(-c2ccc(-c3ccccc3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(-c3ccccc3)cc2)cc2ccccc12,Binol,0 25,0,-1843.52349
57,Oc1c(-c2ccc(C3CCCCC3)cc2)cc2ccccc2c1-c1c(O)c(-c2ccc(C3CCCCC3)cc2)cc2ccccc12,Binol,0 25,0,-1850.594112
